linetype	x	y	key	showSelectedlegendlinetype	showSelected1	group
22	2	82.2916666666667	1	random	profileSize/3	1
22	4	82.2916666666667	1	random	profileSize/3	1
22	6	82.2916666666667	1	random	profileSize/3	1
22	8	82.2916666666667	1	random	profileSize/3	1
22	10	82.2916666666667	1	random	profileSize/3	1
22	12	82.2916666666667	1	random	profileSize/3	1
22	14	82.2916666666667	1	random	profileSize/3	1
22	16	93.75	1	random	profileSize/3	1
22	18	93.75	1	random	profileSize/3	1
22	20	93.75	1	random	profileSize/3	1
22	25	94.7916666666667	1	random	profileSize/3	1
22	30	96.875	1	random	profileSize/3	1
22	31.4	96.875	1	random	profileSize/3	1
22	31.4	96.875	1	random	profileSize/3	1
22	31.4	96.875	1	random	profileSize/3	1
22	31.4	96.875	1	random	profileSize/3	1
22	31.4	96.875	1	random	profileSize/3	1
22	31.4	96.875	1	random	profileSize/3	1
22	2	92.4561403508772	1	random	sequenceID/1	2
22	4	94.3859649122807	1	random	sequenceID/1	2
22	6	93.1578947368421	1	random	sequenceID/1	2
22	8	93.859649122807	1	random	sequenceID/1	2
22	10	93.859649122807	1	random	sequenceID/1	2
22	12	93.5087719298246	1	random	sequenceID/1	2
22	14	96.4912280701754	1	random	sequenceID/1	2
22	16	97.0175438596491	1	random	sequenceID/1	2
22	18	97.0175438596491	1	random	sequenceID/1	2
22	20	97.0175438596491	1	random	sequenceID/1	2
22	25	97.3684210526316	1	random	sequenceID/1	2
22	30	97.5438596491228	1	random	sequenceID/1	2
22	31.4	97.5438596491228	1	random	sequenceID/1	2
22	31.4	97.8947368421053	1	random	sequenceID/1	2
22	31.4	97.8947368421053	1	random	sequenceID/1	2
22	31.4	97.8947368421053	1	random	sequenceID/1	2
22	31.4	97.719298245614	1	random	sequenceID/1	2
22	31.4	97.719298245614	1	random	sequenceID/1	2
22	2	92.9824561403509	1	random	sequenceID/4	3
22	4	92.9824561403509	1	random	sequenceID/4	3
22	6	94.2105263157895	1	random	sequenceID/4	3
22	8	96.4912280701754	1	random	sequenceID/4	3
22	10	96.6666666666667	1	random	sequenceID/4	3
22	12	96.4912280701754	1	random	sequenceID/4	3
22	14	96.4912280701754	1	random	sequenceID/4	3
22	16	96.4912280701754	1	random	sequenceID/4	3
22	18	97.1929824561404	1	random	sequenceID/4	3
22	20	97.1929824561404	1	random	sequenceID/4	3
22	25	96.4912280701754	1	random	sequenceID/4	3
22	30	96.8421052631579	1	random	sequenceID/4	3
22	31.4	96.6666666666667	1	random	sequenceID/4	3
22	31.4	97.0175438596491	1	random	sequenceID/4	3
22	31.4	96.8421052631579	1	random	sequenceID/4	3
22	31.4	97.0175438596491	1	random	sequenceID/4	3
22	31.4	96.6666666666667	1	random	sequenceID/4	3
22	31.4	97.0175438596491	1	random	sequenceID/4	3
